Municipality,Total,Roman Catholic
Alabat,14201,13664
Atimonan,56712,52339
Buenavista,22839,21541
Burdeos,19632,18392
Calauag,65895,62563
Candelaria,92173,85524
Catanauan,57704,55427
Dolores,23451,20687
General Luna,21062,20082
General Nakar,23648,21166
Guinayangan,37164,34624
Gumaca,60158,56405
Infanta,50894,46428
Jomalig,5817,5250
Lopez,78556,73392
Lucban,38770,34540
Macalelon,22935,21942
Mauban,50088,48231
Mulanay,45890,44145
Padre Burgos,18857,16635
Pagbilao,53220,48867
Paunukulan,11307,9667
Patnanungan,11034,10344
Perez,10449,10013
Pitogo,20523,19815
Plaridel,9498,8810
Polilio,24008,21959
Quezon,14592,14002
Real,30627,26556
Sampaloc,12843,11836
San Andres,27184,24086
San Antonio,26419,25147
San Francisco,48223,41769
San Narciso,38459,36893
Sariaya,114479,105755
Tagkawayan,44240,41719
Tayabas,70926,66515
Tiaong,75447,72435
Unisan,21242,19691
Overall,1471166,1368856